"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"218","FAw3",0.0144121551588939,0.0282428039321649,-0.0409644267503711,0.0697887370681589,0.609867375009593
"219","ApoB",0.012742835784414,0.0281568731172955,-0.0424654567619363,0.0679511283307643,0.65088098006713
"220","XL.HDL.FC",0.0112403870732728,0.0283694875777578,-0.0443870856531401,0.0668678597996856,0.691964001691863
"221","TotFA",-0.00916526028902265,0.0281555162300308,-0.0643708732708696,0.0460403526928243,0.744799038996917
"222","Pyr",-0.00906225659717704,0.0283366192177856,-0.0646235834646197,0.0464990702702656,0.749127737897948
"223","M.HDL.TG",0.0047268532580223,0.0281484579287815,-0.0504659743679167,0.0599196808839613,0.866648372258891
"224","S.LDL.TG",-0.00418302810368182,0.0282690279165723,-0.0596120122819839,0.0512459560746203,0.882370708387013
"225","Gp",-0.00392645421177955,0.028160539599443,-0.0591403946803712,0.0512874862568121,0.889115097218868
"226","XL.HDL.CE",-0.00351995656604273,0.0283501539018076,-0.0591079891885073,0.0520680760564219,0.901193513885659
"227","XXL.VLDL.TG..",0.00286827794031469,0.0278205017692578,-0.0516812953717435,0.0574178512523729,0.917888393188123
"228","XL.HDL.C",0.000373260986627944,0.0283572552618505,-0.0552290533079081,0.0559755752811639,0.989498427479847
